Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR,Revenue_Growth_%,Operating_Margin_%,Net_Profit_Margin_%,Liabilities_to_Assets_Ratio,Asset_Turnover_Ratio
2019,ACWA Power,Energy,4114999.0,880083.0,918471.0,37747537.0,27142160.0,,22.32007832808708,21.387198393000823,71.90445299782075,0.1090137086295193
2020,ACWA Power,Energy,4829111.0,902387.0,1767939.0,36260987.0,28860832.0,17.35388028040834,36.61003029336041,18.686400043403435,79.59196477470401,0.1331764907557535
2021,ACWA Power,Energy,5360940.0,743908.0,1836995.0,45708698.0,31388553.0,11.012979407596957,34.266285390248726,13.876447041004004,68.67085341175108,0.117284898379735
2022,ACWA Power,Energy,5275930.0,1476410.0,2363251.0,48845920.0,28817526.0,-1.5857293683570473,44.79306965786127,27.98388151472821,58.99679236259651,0.1080116824496293
2023,ACWA Power,Energy,6095010.0,1771329.0,2983572.0,55018314.0,34309423.0,15.524845856559889,48.95105996544714,29.06195395905831,62.36000434328104,0.1107814754192576
2024,ACWA Power,Energy,6297298.0,1987836.0,3011901.0,56882706.0,32576949.0,3.3189116998987744,47.828465478368656,31.566490898159817,57.270392516136624,0.1107067234108025
2019,Aldrees Petroleum,Energy,5681129.0,291744.0,398815.0,3585220.0,2710453.0,,7.01999549737385,5.135317293446426,75.6007441663273,1.5845970400700655
2020,Aldrees Petroleum,Energy,4974081.0,121083.0,205926.0,4462753.0,3570271.0,-12.445554395966008,4.13998083264024,2.4342788145187018,80.00153716775273,1.114576809426827
2021,Aldrees Petroleum,Energy,9109615.0,176805.0,285131.0,5435393.0,4440243.0,83.14166978784623,3.1300005543593223,1.9408613865679285,81.6912962871314,1.675980927230101
2022,Aldrees Petroleum,Energy,12356079.0,241828.0,370682.0,6315582.0,5206238.0,35.637773934463745,2.9999970055225447,1.9571580919804736,82.43480965016367,1.956443444167141
2023,Aldrees Petroleum,Energy,14834059.0,280815.0,421156.0,7506130.0,6270210.0,20.054743903790182,2.8391150392485294,1.8930422212827924,83.53452444868394,1.9762592707560356
2024,Aldrees Petroleum,Energy,19288553.0,338047.0,513334.0,8443323.0,6963836.0,30.028827578480044,2.66134012229948,1.7525783297482191,82.47743216740614,2.2844741341767927
2019,Aramco,Energy,1096444000.0,330693000.0,674871000.0,1494126000.0,447891000.0,,61.550886319775564,30.16050067308499,29.976789106139645,0.7338363698911604
2020,Aramco,Energy,771246000.0,183763000.0,383360000.0,1914261000.0,813167000.0,-29.659335086880866,49.70657870510836,23.826768631539093,42.47942156268137,0.4028949030461363
2021,Aramco,Energy,1346930000.0,412369000.0,771918000.0,2162690000.0,882022000.0,74.64336930110495,57.30943701602904,30.615473706874152,40.78356121311885,0.6228030831973145
2022,Aramco,Energy,2006955000.0,60400500.0,1144077000.0,2492924000.0,826777000.0,49.002175317202834,57.00561298085907,3.009559257681413,33.164950074691404,0.805060643645775
2023,Aramco,Energy,1856373000.0,454764000.0,868287000.0,2477940000.0,740848000.0,-7.503008288676128,46.773304718394414,24.49744744186648,29.89773763690808,0.7491597859512337
2024,Aramco,Energy,1801674000.0,398422000.0,774625000.0,2423630000.0,772275000.0,-2.946552228458399,42.99473711670368,22.113989545278447,31.864393492406016,0.7433783209483296
