Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR,Revenue_Growth_%,Operating_Margin_%,Net_Profit_Margin_%,Liabilities_to_Assets_Ratio,Asset_Turnover_Ratio
2019,Petro Rabigh,Petrochemicals,34061975.0,544151.0,439329.0,74029648.0,63988241.0,,1.289793090388916,1.5975321454495812,86.43596549317645,0.4601126159616482
2020,Petro Rabigh,Petrochemicals,21870198.0,3781128.0,2435658.0,70694009.0,64490526.0,-35.792924514799864,11.136881339620244,17.288951842136957,91.22488158791504,0.3093642348109017
2021,Petro Rabigh,Petrochemicals,45638066.0,2036661.0,3192471.0,73362023.0,65056112.0,108.67696762507592,6.995193442246215,4.46263651926004,88.67818707780182,0.6220938863695185
2022,Petro Rabigh,Petrochemicals,55952481.0,1114881.0,12228.0,65578732.0,50323871.0,22.600464708561496,0.0218542587950657,1.9925497137472776,76.73809704036364,0.8532107787628465
2023,Petro Rabigh,Petrochemicals,44603993.0,4692733.0,2602953.0,63202879.0,52652198.0,-20.282367818506565,5.835695023985857,10.52088094444818,83.30664493938639,0.7057272343558907
2024,Petro Rabigh,Petrochemicals,39349068.0,4544527.0,2571190.0,60236567.0,50433267.0,-11.781288280625455,6.534309783398173,11.5492621070466,83.72533414794373,0.6532422075115935
2019,SABIC,Petrochemicals,139737384.0,8462836.0,14833007.0,310365751.0,99114429.0,,10.614916764149529,6.0562433314194575,31.934718531491573,0.4502345492367165
2020,SABIC,Petrochemicals,116949287.0,1256229.0,4573937.0,295468550.0,101231425.0,-16.30780278525895,3.911043083144235,1.0741655911078791,34.261319859592504,0.3958095946252147
2021,SABIC,Petrochemicals,174883126.0,30501771.0,33242175.0,319355328.0,1075222030.0,49.53757349542456,19.00822324047433,17.441231579998178,336.6851703191249,0.5476129898794111
2022,SABIC,Petrochemicals,183080000.0,16530000.0,22910000.0,313105817.0,95488558.0,4.687058258553778,12.513655232685164,9.028839851431067,30.49721621748088,0.5847224486410612
2023,SABIC,Petrochemicals,141540000.0,-2770000.0,3720000.0,294380000.0,99100000.0,-22.68953462967009,2.628232301822806,-1.9570439451745087,33.66397173721041,0.4808071200489163
2024,SABIC,Petrochemicals,139980000.0,1540000.0,5740000.0,278020000.0,94100000.0,-1.102161933022472,4.100585797971139,1.10015716530933,33.84648586432631,0.5034889576289475
2019,Sipchem,Petrochemicals,5439730.0,1635000.0,906267.0,23991272.0,9653272.0,,16.66014673522399,30.056638840530685,40.23659937663997,0.2267378736733925
2020,Sipchem,Petrochemicals,5323000.0,1172000.0,360000.0,23765000.0,9929000.0,-2.145878563825776,6.763103513056547,22.017659214728532,41.77992846623185,0.2239848516726278
2021,Sipchem,Petrochemicals,9982000.0,5580000.0,4464000.0,24504000.0,8809000.0,87.52583129814016,44.72049689440994,55.90062111801242,35.94923277832191,0.4073620633365981
2022,Sipchem,Petrochemicals,10254000.0,3953000.0,4047000.0,23475000.0,6738000.0,2.7249048286916544,39.467524868344064,38.55080944021845,28.702875399361023,0.4368051118210863
2023,Sipchem,Petrochemicals,7617941.0,1356344.0,1418968.0,22023899.0,5601573.0,-25.707616539886867,18.626660406007343,17.804601007017514,25.434065966248752,0.3458942941937756
2024,Sipchem,Petrochemicals,7061000.0,466000.0,683000.0,21082000.0,5112000.0,-7.310912489345878,9.672850870981447,6.599631780201104,24.24817379755241,0.334930272270183
