Year,Company_Name,Sector,Revenue_SAR,Net_Income_SAR,Operating_Income_SAR,Total_Assets_SAR,Total_Liabilities_SAR,Revenue_Growth_%,Operating_Margin_%,Net_Profit_Margin_%,Liabilities_to_Assets_Ratio,Asset_Turnover_Ratio
2019,Dar Alarkan,Real Estate Development,3491856.0,304590.0,649653.0,28049229.0,9039741.0,,18.60480500914127,8.722868296974445,32.22812648433224,0.124490266737813
2020,Dar Alarkan,Real Estate Development,1944854.0,18794.0,503318.0,30934616.0,11908436.0,-44.30314423046082,25.879474757488225,0.9663450315550678,38.495502901991735,0.0628698284148734
2021,Dar Alarkan,Real Estate Development,2493078.0,132520.0,684783.0,31961680.0,12802050.0,28.188439852040315,27.467371658648464,5.315517605145126,40.05437135970325,0.078002095008773
2022,Dar Alarkan,Real Estate Development,3925499.0,441720.0,1099653.0,33512853.0,13908725.0,57.45592396226673,28.013075535110318,11.252582155797262,41.50265869635152,0.1171341335815246
2023,Dar Alarkan,Real Estate Development,2707100.0,610758.0,865310.0,33655304.0,13363423.0,-31.03806675278735,31.964463817369143,22.56133870193196,39.7067368638239,0.0804360584590173
2024,Dar Alarkan,Real Estate Development,3759022.0,806840.0,1334107.0,36940222.0,15839508.0,38.85789220937534,35.49080053269174,21.464093586044456,42.87875692788202,0.1017595941897696
2019,Emaar Economic City,Real Estate Development,946807.0,-533391.0,-337604.0,17333958.0,10231703.0,,-35.65710857651032,-56.33576853572059,59.02692852953722,0.0546215122939607
2020,Emaar Economic City,Real Estate Development,547287.0,-1248364.0,-1043639.0,16316662.0,10473389.0,-42.19656170687374,-190.69318291865144,-228.10042993895345,64.18830640727865,0.0335416030558211
2021,Emaar Economic City,Real Estate Development,372079.0,-836529.0,-690373.0,16376950.0,8600143.0,-32.013915916146374,-185.5447364672556,-224.82564186637785,52.51370371161907,0.0227196761301707
2022,Emaar Economic City,Real Estate Development,363267.0,-1157290.0,-794527.0,15190831.0,8536054.0,-2.3683142558435177,-218.71708688099935,-318.5783459549037,56.19214643359537,0.0239135699686212
2023,Emaar Economic City,Real Estate Development,1031357.0,-253220.0,242738.0,15149663.0,8743415.0,183.91155816520632,23.53578828669413,-24.552119198298943,57.713594025160816,0.068077883976693
2024,Emaar Economic City,Real Estate Development,425970.0,-1134565.0,-477484.0,15090660.0,9823749.0,-58.69810356646632,-112.0933399065662,-266.3485691480621,65.09820644027498,0.0282273936328828
2019,Jabel Omar,Real Estate Development,885220.0,635104.0,6858.0,26287576.0,17972572.0,,0.7747226678113915,71.74532884480695,68.3690729034887,0.0336744627956567
2020,Jabel Omar,Real Estate Development,176682.0,1339006.0,790781.0,25736881.0,18748140.0,-80.04089378911456,447.5730408304185,757.862147813586,72.845423654871,0.0068649344106614
2021,Jabel Omar,Real Estate Development,310360.0,946210.0,-432350.0,26822580.0,18194350.0,75.6602257162586,-139.30596726382265,304.8749838896765,67.83221449987286,0.0115708481436163
2022,Jabel Omar,Real Estate Development,849500.0,-176780.0,-352430.0,26512470.0,13825760.0,173.71439618507537,-41.48675691583284,-20.80988816951148,52.14814010162011,0.0320415261195958
2023,Jabel Omar,Real Estate Development,1326720.0,226460.0,37480.0,27282700.0,14559880.0,56.1765744555621,2.825012059816691,17.06916304872166,53.36671223889131,0.0486286181353018
2024,Jabel Omar,Real Estate Development,1901400.0,382840.0,200090.0,27554490.0,14083150.0,43.3158465991317,10.52329862206795,20.13463763542653,51.110182042926574,0.069005087737062
